Theft Year,State,Rank,Make/Model,Model Year,Thefts,
2015,Hawaii,7,Toyota 4Runner,1997,45,
2015,Hawaii,8,Nissan Frontier,2004,44,
2015,Hawaii,9,Nissan Altima,2004,42,
2015,Hawaii,10,Dodge Pickup (Full Size),2001,37,
2015,Idaho,1,Ford Pickup (Full Size),2004,108,
2015,Idaho,2,Chevrolet Pickup (Full Size),1999,76,
2015,Idaho,3,Honda Accord,1996,66,
2015,Idaho,4,Honda Civic,1996,52,
2015,Idaho,5,Dodge Pickup (Full Size),2001,45,
2015,Idaho,6,GMC Pickup (Full Size),1992,32,
2015,Idaho,7,Ford Explorer,2002,22,
2015,Idaho,8,Ford Pickup (Small Size),1991,19,
2015,Idaho,8,Toyota Camry,1997,19,
2015,Idaho,8,Jeep Cherokee/Grand Cherokee,1997,19,
2015,Illinois,1,Dodge Caravan,2000,"1,054",
2015,Illinois,2,Chevrolet Impala,2008,579,
2015,Illinois,3,Honda Civic,2000,566,
2015,Illinois,4,Honda Accord,1997,481,
2015,Illinois,5,Chevrolet Malibu,2011,442,
2015,Illinois,6,Chevrolet Pickup (Full Size),1999,418,
2015,Illinois,7,Ford Pickup (Full Size),2006,392,
2015,Illinois,8,Toyota Camry,2014,383,
2015,Illinois,9,Jeep Cherokee/Grand Cherokee,2000,374,
2015,Illinois,10,Nissan Altima,2014,326,
2015,Indiana,1,Ford Pickup (Full Size),2005,659,
2015,Indiana,2,Chevrolet Pickup (Full Size),1994,619,
2015,Indiana,3,Chevrolet Impala,2004,423,
2015,Indiana,4,Dodge Pickup (Full Size),2001,263,
2015,Indiana,5,Chevrolet Malibu,2005,238,
2015,Indiana,6,GMC Pickup (Full Size),1995,192,
2015,Indiana,7,Honda Accord,1994,186,
2015,Indiana,7,Chevrolet Pickup (Small Size),1998,186,
2015,Indiana,8,Pontiac Grand Prix,2004,183,
2015,Indiana,9,Ford Taurus,2003,182,
2015,Iowa,1,Chevrolet Pickup (Full Size),2002,258,
2015,Iowa,2,Ford Pickup (Full Size),2001,198,
2015,Iowa,3,Chevrolet Impala,2005,101,
2015,Iowa,4,Dodge Pickup (Full Size),2004,93,
2015,Iowa,5,Ford Taurus,2003,77,
2015,Iowa,6,Jeep Cherokee/Grand Cherokee,2005,65,
2015,Iowa,7,GMC Pickup (Full Size),2007,60,
2015,Iowa,8,Toyota Camry,1997,59,
2015,Iowa,9,Dodge Caravan,2005,56,
2015,Iowa,9,Pontiac Grand Prix,1999,56,
2015,Kansas,1,Chevrolet Pickup (Full Size),1999,439,
2015,Kansas,2,Ford Pickup (Full Size),2003,415,
2015,Kansas,3,Honda Accord,1996,319,
2015,Kansas,4,Honda Civic,2000,220,
2015,Kansas,5,Dodge Pickup (Full Size),2001,160,
2015,Kansas,6,GMC Pickup (Full Size),1999,113,
2015,Kansas,7,Chevrolet Impala,2004,98,
2015,Kansas,8,Dodge Caravan,2002,89,
2015,Kansas,8,Jeep Cherokee/Grand Cherokee,2000,89,
2015,Kansas,9,Chevrolet Pickup (Small Size),1998,88,
2015,Kentucky,1,Chevrolet Pickup (Full Size),1998,250,
2015,Kentucky,2,Ford Pickup (Full Size),2001,241,
